,BAA,SI,AAA,PPIR,CAPE,INDPRO,BBY,INF,ADVDECL,URR,SIM,ASP,DTOM,CLOSE,LOW,HIGH,OPEN,PER,EPS,CRP,TOM,FOMC,RELINF,CATY,DVY,FEDFUNDS,US3M,ASPFWR5,UR,HS,TERM,US10YR,DXY,NOS,NAPMNEWO,NAPMPRIC,NAPMPMI,LTIME,RV,HTIME
1983-02-16,14.02,1.9,12.09,0,9.27035471291724,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.2857565500527,1,147.43,147.41,148.66,148.31,10.87241888,13.56,1.93,0,0,0.000362781766133226,20.832886772629003,0.046749654,9.0,8.2,0.0139662419732033,10.4,1716.0,2.612,10.812000000000001,118.02,-0.099869813,50.3,43.7,46.0,53940.0,6.006622838999999,33600.0
1983-02-17,14.02,1.9,12.1,0,9.272076511369029,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.2873469222013405,2,147.44,146.36,147.57,147.43,10.87315634,13.56,1.92,0,0,0.000590388980612033,20.8347349279967,0.046744869,8.67,8.1,0.0148318192284825,10.4,1716.0,2.612,10.712,118.46,-0.099869813,50.3,43.7,46.0,43080.0,6.611844171,34020.0
1983-02-18,14.02,1.9,12.04,0,9.30838983031569,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.31239147515238,3,148.0,147.21,148.29,147.44,10.91445428,13.56,1.98,0,0,0.000817996195090841,20.914305454295896,0.046566388,8.42,7.99,-0.00023643370634434302,10.4,1716.0,2.612,10.602,118.53,-0.099869813,50.3,43.7,46.0,37260.0,3.883529316,51000.0
1983-02-22,14.02,1.9,11.91,0,9.150972879301051,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.20607466344741,4,145.48,145.42,148.11,148.01,10.72861357,13.56,2.11,0,0,0.00040899809754542404,20.5586267676374,0.047371372,8.48,7.91,0.0357989377471232,10.4,1716.0,2.552,10.462,119.19,-0.099869813,50.3,43.7,46.0,54000.0,7.967957782999999,32820.0
1983-02-23,14.02,1.9,11.83,0,9.234460749157519,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.26312301058887,5,146.79,145.4,146.79,145.47,10.82522124,13.56,2.19,1,0,0.0,20.744184360297197,0.046946993,8.49,7.96,0.0361983063530488,10.4,1716.0,2.4819999999999998,10.442,119.52,-0.099869813,50.3,43.7,46.0,32640.0,6.029517047000001,54000.0
1983-02-24,13.97,1.9,11.86,0,9.412342481224261,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.3841828149333795,4,149.6,146.8,149.67,146.8,11.03244838,13.56,2.11,1,0,0.0,21.1417325403146,0.046063577,8.39,7.93,0.024954111638742997,10.4,1716.0,2.492,10.422,119.15,-0.099869813,50.3,43.7,46.0,32520.0,9.837793636,53460.0
1983-02-25,13.97,1.78,11.69,0,9.422257743707991,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.39133257438045,3,149.74,149.6,150.88,149.6,11.04277286,13.56,2.28,1,0,0.0,21.1619600585355,0.046020509,8.22,7.82,0.0252542833624703,10.4,1716.0,2.4419999999999997,10.262,119.45,-0.099869813,50.3,43.7,46.0,32520.0,7.867295522,34380.0
1983-02-28,13.97,1.78,11.66,0,9.317639104806538,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.320800828409981,2,148.06,147.81,149.74,149.74,10.91887906,13.56,2.31,1,0,0.0,20.9249717464564,0.046542692999999996,8.53,7.93,0.0365363789579825,10.4,1716.0,2.342,10.272,120.35,-0.081293963,50.3,43.7,46.0,53340.0,8.987733748,32520.0
1983-03-01,13.97,1.78,11.64,0,9.49622004497405,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.442364595750839,1,150.88,148.07,150.88,148.07,11.12684366,13.56,2.33,1,0,0.0,21.323960884519103,0.045672792999999996,8.65,7.96,0.0018741040405960301,10.4,1716.0,2.262,10.222000000000001,120.79,-0.081293963,50.3,43.7,46.0,32520.0,10.5542589,54000.0
1983-03-02,13.81,1.78,11.6,0,9.58671720796471,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.50417251222993,0,152.3,150.91,152.63,150.91,11.23156342,13.56,2.21,0,0,0.0,21.5250993520308,0.045246954000000006,8.83,8.0,0.0031048295902238897,10.4,1716.0,2.262,10.262,120.3,-0.081293963,50.3,43.7,46.0,32520.0,5.8143008179999995,42780.0
1983-03-03,13.81,1.78,11.61,0,9.66212581226529,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.555742087829469,0,153.48,152.31,154.16,152.31,11.31858407,13.56,2.2,0,0,0.0,21.6923251877745,0.044898823,8.53,7.95,-0.0116247749366045,10.4,1716.0,2.282,10.232000000000001,119.98,-0.081293963,50.3,43.7,46.0,32520.0,6.360220458,47280.0
1983-03-04,13.81,1.78,11.62,0,9.67521976871604,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.56503746315727,0,153.67,152.53,153.67,153.47,11.33259587,13.56,2.19,0,0,0.0,21.719631489787,0.044843568,8.5,8.01,-0.016544399820704,10.4,1716.0,2.262,10.272,119.35,-0.081293963,50.3,43.7,46.0,35460.0,6.299777693999999,53160.0
1983-03-07,13.81,1.78,11.62,0,9.67635189092756,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.5662173963109005,0,153.67,152.65,154.0,153.67,11.33259587,13.56,2.19,0,0,0.0,21.7200834173852,0.044843825999999996,8.82,8.18,-0.0192531523640055,10.4,1716.0,2.252,10.432,119.08,-0.081293963,60.6,48.7,54.4,46020.0,5.595019995,35520.0
1983-03-08,13.81,1.78,11.65,0,9.52571181664451,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.464419834071911,0,151.26,151.26,153.63,153.63,11.15486726,13.56,2.16,0,0,0.0,21.37989268994,0.045558577999999995,8.79,8.3,6.01171320618759e-05,10.4,1716.0,2.222,10.522,120.04,-0.081293963,60.6,48.7,54.4,54000.0,5.562617672999999,32520.0
1983-03-09,13.67,1.78,11.69,0,9.62822772598242,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.53440698836053,0,152.87,150.84,152.87,151.25,11.27359882,13.56,1.98,0,0,0.0,21.607907350106398,0.045079022,8.49,8.26,-0.0208850966513531,10.4,1716.0,2.222,10.482000000000001,120.15,-0.081293963,60.6,48.7,54.4,34260.0,5.62592039,54000.0
1983-03-10,13.67,1.78,11.79,0,9.56195224669565,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.4898505592830595,0,151.8,151.75,154.01,152.87,11.19469027,13.56,1.88,0,0,0.0,21.457109844518,0.045397034,8.48,8.24,-0.0152617098825789,10.4,1716.0,2.312,10.552,119.91,-0.081293963,60.6,48.7,54.4,54000.0,8.784893946,34440.0
1983-03-11,13.67,1.78,11.86,0,9.52827429529952,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.46709156631977,0,151.24,150.65,151.75,151.75,12.05099602,12.55,1.81,0,0,0.0,21.3783961350123,0.045565652000000005,8.4,8.27,-0.009500724974584691,10.4,1716.0,2.322,10.592,120.27,-0.081293963,60.6,48.7,54.4,51300.0,4.489434302,32520.0
1983-03-14,13.67,1.78,11.83,0,9.50403551553682,435.61939011319396,0.0,0.036405476385009,0.0,0,1,6.4507424784618905,0,150.83,150.22,151.3,151.28,12.01832669,12.55,1.84,0,0,0.0,21.3208821750955,0.045690039,8.53,8.23,0.0017734430612149398,10.4,1716.0,2.252,10.482000000000001,118.97,-0.081293963,60.6,48.7,54.4,37860.0,5.022484237,33000.0
1983-03-15,13.67,1.78,11.78,0,9.539028137176391,439.137608388704,0.0,0.0332325493444321,0.0,0,1,6.474592593202731,0,151.36,150.4,151.37,150.83,12.06055777,12.55,1.89,0,0,-0.0025383416324615397,21.3962436550962,0.045530575,8.82,8.25,-0.00525733447293974,10.4,1716.0,2.2119999999999997,10.462,119.07,-0.081293963,60.6,48.7,54.4,42660.0,4.469582988,54000.0
1983-03-16,13.65,1.78,11.76,0,9.44229292761605,439.137608388704,0.0,0.0332325493444321,0.0,0,1,6.40904498915993,0,149.8,149.78,151.62,151.36,11.93625498,12.55,1.89,0,0,-0.00190375622434615,21.176159285542102,0.046005255,8.93,8.3,0.0192594582953231,10.4,1756.0,2.2319999999999998,10.532,119.25,-0.081293963,60.6,48.7,54.4,53880.0,5.7924123210000005,45180.0
1983-03-17,13.65,1.78,11.78,0,9.43063241803387,439.137608388704,0.0,0.0332325493444321,0.0,0,1,6.401243698311889,0,149.59,149.12,149.8,149.8,11.91952191,12.55,1.87,0,0,-0.0012691708162307698,21.1469091160078,0.04607037,8.74,8.34,0.0243053504011819,10.4,1756.0,2.222,10.562000000000001,119.94,-0.081293963,60.6,48.7,54.4,47340.0,3.416630889,32520.0
1983-03-18,13.65,1.78,11.79,0,9.44211614237169,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.41569446200703,0,149.9,148.56,150.29,149.59,11.94422311,12.55,1.86,0,0,0.000182157899170934,21.1695620293313,0.045975888,8.7,8.44,0.0176479573204861,10.4,1756.0,2.142,10.582,120.45,-0.081293963,60.6,48.7,54.4,49020.0,3.969083535,37020.0
1983-03-21,13.65,1.78,11.77,0,9.5249687643208,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.47209173025562,0,151.19,149.32,151.21,149.82,12.04701195,12.55,1.88,0,0,0.000612557480464737,21.352197692460102,0.045584395,8.78,8.5,0.00369113215381115,10.4,1756.0,2.102,10.602,121.88,-0.081293963,60.6,48.7,54.4,34320.0,5.685080673,53580.0
1983-03-22,13.65,1.78,11.81,0,9.4931686853229,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.45058936905421,1,150.66,150.6,151.59,151.21,12.00478088,12.55,1.84,0,0,0.00040837165364315803,21.2778008231103,0.045745545,8.84,8.61,0.0054900969916584,10.4,1756.0,2.012,10.622,121.72,-0.081293963,60.6,48.7,54.4,53340.0,4.02964674,37920.0
1983-03-23,13.61,1.78,11.75,0,9.630253211976381,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.5438287026782795,2,152.81,150.65,152.98,150.65,12.17609562,12.55,1.86,0,0,0.00020418582682157901,21.581906177562598,0.045102695,8.76,8.47,0.0031227170567195,10.4,1756.0,2.112,10.582,122.13,-0.081293963,60.6,48.7,54.4,32520.0,5.828605699,48480.0
1983-03-24,13.61,1.78,11.73,0,9.66716203307447,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.56899588922722,3,153.37,152.82,153.78,152.82,12.22071713,12.55,1.88,0,0,0.0,21.661457620089397,0.044938788,8.85,8.51,-0.00334543554778489,10.4,1756.0,2.072,10.582,121.91,-0.081293963,60.6,48.7,54.4,32520.0,5.886267265,42900.0
1983-03-25,13.61,1.99,11.76,0,9.624648766914051,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.54020221496828,4,152.67,152.3,153.71,153.37,12.16494024,12.55,1.85,0,0,0.0,21.563049789931604,0.045145874,8.76,8.65,0.00161467927431538,10.4,1756.0,1.992,10.642000000000001,121.77,-0.081293963,60.6,48.7,54.4,51240.0,4.941133171000001,39960.0
1983-03-28,13.61,1.99,11.78,0,9.5745536759855,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.506262652864111,5,151.85,151.56,152.67,152.67,12.09960159,12.55,1.83,1,1,0.0,21.4476879202773,0.04539071,8.89,8.65,-0.000421775632515714,10.4,1756.0,2.012,10.662,122.65,-0.058170952000000005,60.6,48.7,54.4,50520.0,3.755981588,32520.0
1983-03-29,13.61,1.99,11.74,0,9.55975598100526,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.49631101134841,4,151.59,151.42,152.46,151.85,12.07888446,12.55,1.87,1,0,0.0,21.4114179422393,0.045469609,8.96,8.63,-0.0043324735068716895,10.4,1756.0,1.972,10.602,122.58,-0.058170952000000005,60.6,48.7,54.4,53100.0,4.948897856,34200.0
1983-03-30,13.58,1.99,11.74,0,9.67488401329988,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.57463778031967,3,153.39,151.6,153.39,151.6,12.22231076,12.55,1.84,1,0,0.0,21.666117732127105,0.044937068,9.17,8.63,-0.0113853220003182,10.4,1756.0,1.962,10.592,122.31,-0.058170952000000005,60.6,48.7,54.4,32520.0,5.754166682999999,54000.0
1983-03-31,13.58,1.99,11.75,0,9.64937122746103,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.55739593734456,2,152.96,152.86,155.02,153.41,12.18804781,12.55,1.83,1,0,0.0,21.60583657206,0.045064432,10.81,8.64,-0.0014274422814981801,10.4,1756.0,1.982,10.622,122.21,-0.058170952000000005,60.6,48.7,54.4,54000.0,8.394318911000001,43500.0
1983-04-04,13.58,1.99,11.72,0,9.65476509479321,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.56115727090373,1,153.02,152.23,153.02,152.92,12.19282869,12.55,1.86,1,0,0.0,21.6147668343688,0.045047799000000006,9.24,8.64,0.0130411079617584,10.3,1756.0,1.962,10.602,121.83,-0.058170952000000005,60.6,48.7,54.4,34140.0,5.332388162,53940.0
1983-04-05,13.58,1.99,11.65,0,9.58506416397794,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.51389473136227,0,151.89,151.81,153.92,153.04,12.10278884,12.55,1.93,0,0,0.0,21.4556003061273,0.045383982,9.53,8.51,0.0248166376199019,10.3,1756.0,1.982,10.492,121.5,-0.058170952000000005,60.6,48.7,54.4,53880.0,7.625446343999999,33780.0
1983-04-06,13.58,1.99,11.65,0,9.53301116835949,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.4786315306643,0,151.04,150.17,151.9,151.9,12.03505976,12.55,1.93,0,0,0.0,21.3359792724612,0.045640438,9.1,8.4,0.0364993362950885,10.3,1756.0,2.092,10.492,121.14,-0.058170952000000005,60.6,48.7,54.4,44520.0,6.111642797000001,32520.0
1983-04-07,13.56,1.99,11.63,0,9.58004787574877,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.510704621758371,0,151.76,150.81,151.77,151.04,12.09243028,12.55,1.93,0,0,0.0,21.438136043755897,0.04542495,9.0,8.36,0.0402417547764783,10.3,1756.0,2.1519999999999997,10.512,121.5,-0.058170952000000005,60.6,48.7,54.4,40920.0,4.870833986,34020.0
1983-04-08,13.56,1.99,11.64,0,9.650459568278901,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.558657063239111,0,152.85,151.39,152.85,151.77,12.17928287,12.55,1.92,0,0,0.0,21.592564906757698,0.045102055,8.84,8.33,0.0371131820259513,10.3,1756.0,2.182,10.512,121.89,-0.058170952000000005,60.8,47.9,53.9,39000.0,5.426145357999999,54000.0
1983-04-11,13.56,1.99,11.56,0,9.79667012666999,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.65810913682222,0,155.14,152.87,155.14,152.87,12.36175299,12.55,2.0,0,0,0.0,21.916522664319896,0.044437332999999996,8.73,8.17,0.0284543683346254,10.3,1756.0,2.242,10.412,121.42,-0.058170952000000005,60.8,47.9,53.9,32520.0,6.886144272,54000.0
1983-04-12,13.56,1.99,11.57,0,9.84124394059321,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.688482976072629,0,155.82,154.78,155.82,155.15,12.41593625,12.55,1.99,0,0,0.0,22.0130448327908,0.044244427,8.61,8.2,0.017613828137119997,10.3,1756.0,2.222,10.422,121.33,-0.058170952000000005,60.8,47.9,53.9,38820.0,5.864464127000001,53940.0
1983-04-13,13.46,1.99,11.53,0,9.902886672470189,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.73045181587876,0,156.77,155.82,157.22,155.82,12.49163347,12.55,1.93,0,0,0.0,22.1477145678101,0.043977326,8.47,8.18,0.0240624949830327,10.3,1756.0,2.2119999999999997,10.392000000000001,121.93,-0.058170952000000005,60.8,47.9,53.9,32520.0,5.7261561389999995,44640.0
1983-04-14,13.46,1.99,11.44,0,9.989188243629481,439.137608388704,0.0,0.03425347847854,0.0,0,1,6.789171566627519,0,158.11,156.55,158.12,156.8,12.59840637,12.55,2.02,0,0,0.0,22.337487616292897,0.043605617,8.69,8.12,0.0114437816833511,10.3,1756.0,2.1719999999999997,10.292,121.87,-0.058170952000000005,60.8,47.9,53.9,41040.0,5.69316467,53820.0
1983-04-15,13.46,1.99,11.43,0,10.021065577359801,444.89469283954,0.0,0.0352733663792852,0.0,0,1,6.8178439373792195,0,158.75,158.11,158.75,158.11,12.64940239,12.55,2.03,0,0,0.000815910320596205,22.405526055344,0.043430820999999994,8.73,8.14,0.009722767429472371,10.3,1756.0,2.1919999999999997,10.332,121.59,-0.058170952000000005,60.8,47.9,53.9,32580.0,3.4163703780000003,53820.0
1983-04-18,13.46,1.99,11.41,0,10.085235587924,444.89469283954,0.0,0.0352733663792852,0.0,0,1,6.861552784436281,0,159.74,158.41,159.75,158.75,12.72828685,12.55,2.05,0,0,0.000611932740447151,22.5457368091499,0.043162649000000004,8.65,8.07,-0.00656272352462929,10.3,1611.0,2.222,10.292,122.19,-0.058170952000000005,60.8,47.9,53.9,40860.0,4.906208838,53940.0
1983-04-19,13.46,1.99,11.48,0,10.0218710584822,444.89469283954,0.0,0.0352733663792852,0.0,0,1,6.8185011190295395,0,158.71,158.54,159.74,159.74,12.64621514,12.55,1.98,0,0,0.00040795516029810296,22.4008434553784,0.043443767,8.76,8.16,0.0186284260178061,10.3,1611.0,2.2319999999999998,10.392000000000001,121.99,-0.058170952000000005,60.8,47.9,53.9,52680.0,6.327827058,32520.0
1983-04-20,13.31,1.99,11.46,0,10.1498477109445,444.89469283954,0.0,0.0352733663792852,0.0,0,1,6.905616831307531,1,160.71,158.71,160.83,158.71,12.80557769,12.55,1.85,0,0,0.00020397758014904799,22.683616280307604,0.042904107000000004,8.61,8.1,0.00382359556370289,10.3,1611.0,2.292,10.392000000000001,122.43,-0.058170952000000005,60.8,47.9,53.9,32520.0,5.398228544,48480.0
1983-04-21,13.31,1.99,11.48,0,10.1098418903548,444.89469283954,0.0,0.0352733663792852,0.0,0,1,6.8784488973663604,2,160.05,159.96,161.08,160.73,12.75298805,12.55,1.83,0,0,0.0,22.5909433232794,0.043082023,8.7,8.14,0.0172543915415891,10.3,1611.0,2.292,10.432,122.06,-0.058170952000000005,60.8,47.9,53.9,54000.0,5.241465767,35040.0
1983-04-22,13.31,1.98,11.49,0,10.1348940183241,444.89469283954,0.0,0.0352733663792852,0.0,0,1,6.895542437282421,3,160.42,160.02,160.76,160.04,12.78247012,12.55,1.82,0,0,0.0,22.643652482410698,0.04298364599999999,8.52,8.15,0.0239287667110732,10.3,1611.0,2.272,10.422,121.89,-0.058170952000000005,60.8,47.9,53.9,33180.0,3.409727298,46200.0
1983-04-25,13.31,1.98,11.48,0,10.034841427713099,444.89469283954,0.0,0.0352733663792852,0.0,0,1,6.82753000731447,4,158.81,158.72,160.83,160.43,12.65418327,12.55,1.83,0,0,0.0,22.4168755761448,0.04342040900000001,8.48,8.15,0.0198667263309113,10.3,1611.0,2.252,10.402000000000001,121.51,-0.058170952000000005,60.8,47.9,53.9,53160.0,4.487599324,33840.0
1983-04-26,13.31,1.98,11.48,0,10.226097974352198,444.89469283954,0.0,0.0352733663792852,0.0,0,1,6.957697960323941,5,161.81,158.07,161.81,158.81,12.89322709,12.55,1.83,1,0,0.0,22.8408280799889,0.042616364000000004,8.45,8.14,0.00257113000273893,10.3,1611.0,2.2319999999999998,10.372,121.77,0.009296884,60.8,47.9,53.9,34620.0,8.23344949,54000.0
1983-04-27,13.25,1.98,11.42,0,10.204403375882501,444.89469283954,0.0,0.0352733663792852,0.0,0,1,6.94298097825955,4,161.44,160.76,162.77,161.85,12.86374502,12.55,1.83,1,0,0.0,22.789084170699102,0.04271501900000001,8.9,8.1,0.0108186831153717,10.3,1611.0,2.1919999999999997,10.292,121.62,0.009296884,60.8,47.9,53.9,52200.0,8.294083951000001,34260.0
1983-04-28,13.25,1.98,11.39,0,10.3015521517609,444.89469283954,0.0,0.0352733663792852,0.0,0,1,7.00911382229303,3,162.95,161.44,162.96,161.44,12.98406375,12.55,1.86,1,0,0.0,23.0027261904212,0.042320168,8.83,8.1,0.00742877640116928,10.3,1611.0,2.2119999999999997,10.312000000000001,122.31,0.009296884,60.8,47.9,53.9,32580.0,6.160571175,53940.0
1983-04-29,13.25,1.98,11.36,0,10.3961499264364,444.89469283954,0.0,0.0352733663792852,0.0,0,1,7.07353736763168,2,164.42,162.72,164.43,162.97,12.99762846,12.65,1.89,1,0,0.0,23.210729780061303,0.041942769,8.84,8.08,0.00946442338635348,10.3,1611.0,2.1919999999999997,10.272,122.39,0.009296884,60.8,47.9,53.9,38460.0,5.689728256,51840.0
1983-05-02,13.25,1.98,11.35,0,10.251731915453199,444.89469283954,0.0,0.0352733663792852,0.0,0,0,6.97535183842242,1,162.11,161.99,164.42,164.41,12.81501976,12.65,1.9,1,0,0.0,22.8851176310075,0.042541415,8.77,8.05,0.0218599373987856,10.3,1611.0,2.2119999999999997,10.262,122.04,0.009296884,60.8,47.9,53.9,53880.0,7.60742048,32520.0
1983-05-03,13.25,1.98,11.33,0,10.267920016388802,444.89469283954,0.0,0.0352733663792852,0.0,0,0,6.986441924689701,0,162.34,160.8,162.35,162.1,12.83320158,12.65,1.92,0,0,0.0,22.9180710556877,0.042482121,8.81,8.04,0.0212838717331273,10.3,1611.0,2.222,10.262,121.98,0.009296884,60.8,47.9,53.9,42240.0,7.301819076,35100.0
1983-05-04,13.16,1.98,11.28,0,10.330924081402301,444.89469283954,0.0,0.0352733663792852,0.0,0,0,7.0293804446218005,0,163.31,162.38,163.64,162.38,12.90988142,12.65,1.88,0,0,0.0,23.0554955082686,0.042230765,8.64,8.01,0.00934204312022765,10.3,1611.0,2.112,10.122,121.57,0.009296884,60.8,47.9,53.9,32520.0,5.738124329,45240.0
1983-05-05,13.16,1.98,11.27,0,10.3939469733441,444.89469283954,0.0,0.0352733663792852,0.0,0,0,7.07232625603597,0,164.28,163.35,164.3,163.35,12.98656126,12.65,1.89,0,0,0.0,23.1929249516879,0.041982378,8.69,8.06,-0.0008911501319766491,10.3,1611.0,2.102,10.162,121.38,0.009296884,60.8,47.9,53.9,32520.0,5.013016885,53580.0
1983-05-06,13.16,1.98,11.23,0,10.5107765170033,444.89469283954,0.0,0.0352733663792852,0.0,0,0,7.15187732025779,0,166.1,164.3,166.99,164.3,13.13043478,12.65,1.93,0,0,0.0,23.450363931616604,0.041524039,8.45,7.98,-0.00795551609091757,10.2,1611.0,2.1519999999999997,10.132,121.32,0.009296884,60.8,47.9,53.9,32520.0,6.3209931610000005,50460.0
1983-05-09,13.16,1.98,11.28,0,10.494100317673,444.89469283954,0.0,0.0352733663792852,0.0,0,0,7.14059006103386,0,165.81,164.9,166.46,166.1,13.10750988,12.65,1.88,0,0,0.0,23.409911894927802,0.041598339,8.46,8.13,-0.0153399525913801,10.2,1611.0,2.122,10.252,121.07,0.009296884,60.8,47.9,53.9,33900.0,7.500141219,50760.0
